username,score,lag,session_id,primacy,recency,total_comparisons,norm_primacy,norm_recency
uid1,4,1,1,0,1,1,0.0,1.0
uid1,4,2,1,1,0,1,1.0,0.0
uid1,4,3,1,0,1,1,0.0,1.0
uid1,4,4,1,0,1,1,0.0,1.0
uid1,4,5,1,1,0,1,1.0,0.0
uid1,4,6,1,1,0,1,1.0,0.0
uid1,5,1,1,1,2,3,0.3333333333333333,0.6666666666666666
uid1,5,2,1,2,0,2,1.0,0.0
uid1,5,3,1,2,0,2,1.0,0.0
uid1,5,4,1,1,1,2,0.5,0.5
uid1,5,5,1,1,1,2,0.5,0.5
uid1,5,6,1,2,0,2,1.0,0.0
uid1,5,7,1,1,0,1,1.0,0.0
uid1,5,8,1,1,0,1,1.0,0.0
uid10,3,1,1,0,1,1,0.0,1.0
uid10,4,1,1,1,0,1,1.0,0.0
uid10,4,2,1,1,0,1,1.0,0.0
uid10,4,3,1,1,0,1,1.0,0.0
uid10,4,6,1,0,1,1,0.0,1.0
uid10,4,8,1,0,1,1,0.0,1.0
uid10,5,1,1,0,1,1,0.0,1.0
uid10,5,2,1,1,0,1,1.0,0.0
uid10,5,3,1,1,1,2,0.5,0.5
uid10,5,4,1,1,0,1,1.0,0.0
uid10,5,6,1,1,0,1,1.0,0.0
uid11,3,1,1,0,1,1,0.0,1.0
uid11,3,5,1,1,0,1,1.0,0.0
uid11,3,6,1,0,1,1,0.0,1.0
uid11,4,2,1,2,1,3,0.6666666666666666,0.3333333333333333
uid11,4,4,1,1,1,2,0.5,0.5
uid11,4,6,1,0,1,1,0.0,1.0
uid11,5,2,1,1,0,1,1.0,0.0
uid11,5,4,1,0,1,1,0.0,1.0
uid11,5,6,1,1,0,1,1.0,0.0
uid12,3,2,1,1,0,1,1.0,0.0
uid12,3,4,1,0,1,1,0.0,1.0
uid12,3,6,1,1,0,1,1.0,0.0
uid12,4,4,1,0,1,1,0.0,1.0
uid12,5,1,1,1,1,2,0.5,0.5
uid12,5,3,1,1,0,1,1.0,0.0
uid12,5,4,1,2,1,3,0.6666666666666666,0.3333333333333333
uid12,5,5,1,1,1,2,0.5,0.5
uid12,5,8,1,1,0,1,1.0,0.0
uid12,5,9,1,1,0,1,1.0,0.0
uid13,3,1,1,0,1,1,0.0,1.0
uid13,3,4,1,0,1,1,0.0,1.0
uid13,3,5,1,0,1,1,0.0,1.0
uid13,4,4,1,0,1,1,0.0,1.0
uid13,5,1,1,0,2,2,0.0,1.0
uid13,5,3,1,1,0,1,1.0,0.0
