username,Duration (in seconds),age_bin,gender,satf1,satf2,satf3,satf4,satf5,satf6,iol1,iol2,iol3,iol4,imn1,imn2,imn3,imn4,fatig1,fatig2,fatig3,fatig4,fatig5
uid18,121,21-25,F,2,2,2,6,1,6,3,3,6,3,2,2,2,4,6,3,3,3,4
uid15,150,21-25,F,2,2,1,2,1,2,5,2,6,5,2,1,2,6,3,5,2,3,2
uid8,125,21-25,F,1,1,1,7,4,7,2,2,5,2,4,2,2,2,5,2,2,2,3
uid3,176,21-25,F,1,2,2,6,1,6,3,3,1,1,4,2,1,6,3,1,2,2,4
uid6,156,21-25,F,2,1,2,7,2,6,2,3,3,2,2,2,2,6,3,3,3,2,3
uid1,158,26-30,M,1,2,1,4,1,6,5,3,3,3,2,1,1,6,6,3,2,2,2
uid2,171,21-25,M,1,1,6,2,2,2,2,2,2,2,6,2,6,1,2,2,6,3,6
uid17,150,21-25,F,2,1,1,6,4,4,3,3,6,3,1,1,2,2,3,3,5,2,2
uid13,162,26-30,M,1,1,1,2,1,2,2,2,1,2,1,1,1,7,3,3,1,1,3
uid16,189,21-25,F,1,2,2,2,1,2,2,2,3,2,4,6,2,6,3,2,6,3,3
uid7,185,21-25,F,1,1,1,6,2,6,3,2,2,2,2,4,4,2,3,2,4,3,3
uid11,185,21-25,F,1,1,1,4,1,2,2,2,1,3,2,6,1,7,3,2,2,1,2
uid4,246,under 21,F,1,1,1,7,1,4,6,2,3,5,1,1,1,1,6,3,1,1,1
uid10,215,21-25,M,1,2,2,6,4,6,6,2,6,3,2,2,1,4,3,3,2,2,2
uid5,223,21-25,M,2,2,1,6,4,2,3,1,3,3,2,2,1,6,4,4,2,1,1
uid12,225,under 21,F,2,1,2,4,2,4,6,4,6,5,2,1,2,4,5,6,2,1,2
uid9,288,21-25,F,1,1,1,7,2,6,3,3,3,3,2,4,2,7,3,3,2,2,2
uid14,343,under 21,M,1,2,1,7,1,6,5,7,6,2,2,2,1,2,5,5,2,1,2
