username,group_number,outstanding,very_good,good,fair,needs_improvement
uid1,1,100,0,0,0,0
uid4,1,100,0,0,0,0
uid15,1,80,20,0,0,0
uid9,1,90,10,0,0,0
uid10,1,0,50,50,0,0
uid6,1,30,70,0,0,0
uid22,1,30,70,0,0,0
uid18,1,0,30,50,20,0
uid3,1,25,50,25,0,0
uid16,1,0,20,70,10,0
uid19,1,70,20,10,0,0
uid8,1,90,10,0,0,0
uid12,1,0,50,50,0,0
uid2,1,10,80,10,0,0
uid20,1,90,10,0,0,0
uid5,1,10,70,20,0,0
uid14,1,10,80,10,0,0
uid11,1,0,25,50,25,0
uid13,1,65,25,10,0,0
uid21,1,95,5,0,0,0
uid1,2,70,30,0,0,0
uid4,2,65,35,0,0,0
uid15,2,75,25,0,0,0
uid14,2,4,85,11,0,0
uid20,2,10,80,10,0,0
uid10,2,0,0,60,40,0
uid9,2,0,50,50,0,0
uid5,2,0,10,80,10,0
uid19,2,80,20,0,0,0
uid22,2,0,0,70,30,0
uid2,2,0,90,10,0,0
uid12,2,0,0,35,65,0
uid8,2,0,20,80,0,0
uid3,2,0,25,50,25,0
uid13,2,0,0,80,20,0
uid6,2,0,25,75,0,0
uid21,2,5,85,10,0,0
uid7,1,85,10,5,0,0
uid17,1,90,5,5,0,0
uid11,2,0,10,40,40,10
uid16,2,0,20,70,10,0
uid18,2,0,50,40,10,0
uid17,2,30,30,30,5,5
uid7,2,30,50,20,0,0
uid14,3,8,81,11,0,0
uid4,3,70,30,0,0,0
uid2,3,90,10,0,0,0
uid1,3,95,5,0,0,0
uid6,3,0,60,40,0,0
uid15,3,70,30,0,0,0
uid18,3,0,50,30,20,0
uid20,3,90,10,0,0,0
uid7,3,90,10,0,0,0
uid17,3,95,5,0,0,0
uid8,3,95,5,0,0,0
uid12,3,0,70,30,0,0
uid3,3,50,50,0,0,0
uid13,3,5,75,20,0,0
uid16,3,0,40,50,10,0
uid22,3,30,70,0,0,0
uid11,3,10,60,30,0,0
uid5,3,80,10,10,0,0
uid9,3,95,5,0,0,0
uid21,3,92,8,0,0,0
uid10,3,0,50,50,0,0
uid21,4,10,87,3,0,0
uid20,4,8,79,13,0,0
uid15,4,20,50,30,0,0
uid17,4,80,10,10,0,0
uid4,4,90,10,0,0,0
uid7,4,70,15,15,0,0
uid10,4,30,50,20,0,0
uid19,3,60,20,20,0,0
uid19,4,90,10,0,0,0
uid3,4,50,50,0,0,0
uid1,4,100,0,0,0,0
uid12,4,0,50,50,0,0
uid13,4,0,80,20,0,0
uid22,4,50,50,0,0,0
uid6,4,30,70,0,0,0
uid16,4,0,50,50,0,0
uid2,4,0,70,30,0,0
uid8,4,10,90,0,0,0
uid18,4,10,60,30,0,0
uid11,4,25,25,50,0,0
uid5,4,5,90,5,0,0
uid14,4,10,80,10,0,0
uid6,5,90,10,0,0,0
uid3,5,100,0,0,0,0
uid11,5,60,20,20,0,0
uid15,5,85,15,0,0,0
uid17,5,100,0,0,0,0
uid19,5,92,8,0,0,0
uid7,5,85,15,0,0,0
uid1,5,90,10,0,0,0
uid4,5,80,20,0,0,0
uid2,5,100,0,0,0,0
uid14,5,10,90,0,0,0
uid12,5,50,50,0,0,0
uid16,5,0,80,20,0,0
uid13,5,95,5,0,0,0
uid22,5,35,65,0,0,0
uid5,5,80,20,0,0,0
uid10,5,40,60,0,0,0
uid9,4,80,20,0,0,0
uid8,5,95,5,0,0,0
uid18,5,40,50,10,0,0
uid20,5,90,10,0,0,0
uid21,5,90,10,0,0,0
uid15,6,10,80,10,0,0
uid1,6,85,15,0,0,0
uid7,6,0,70,30,0,0
uid14,6,10,80,10,0,0
uid18,6,0,20,50,30,0
uid16,6,0,0,80,20,0
uid10,6,0,0,10,70,20
uid12,6,0,60,40,0,0
uid17,6,60,10,20,10,0
uid4,6,60,40,0,0,0
uid2,6,0,0,100,0,0
uid22,6,0,50,50,0,0
uid6,6,0,80,20,0,0
uid9,6,0,50,50,0,0
uid5,6,0,15,70,15,0
uid13,6,0,80,20,0,0
uid21,6,0,20,80,0,0
uid20,6,0,50,50,0,0
uid8,6,10,80,10,0,0
uid3,6,25,50,25,0,0
uid11,6,25,50,25,0,0
uid19,6,93,7,0,0,0
uid19,7,100,0,0,0,0
uid16,7,0,0,80,20,0
uid14,7,9,85,6,0,0
uid18,7,30,50,20,0,0
uid17,7,85,10,5,0,0
uid10,7,0,10,80,10,0
uid13,7,0,80,20,0,0
uid2,7,0,100,0,0,0
uid6,7,90,10,0,0,0
uid12,7,0,50,50,0,0
uid22,7,70,30,0,0,0
uid8,7,80,20,0,0,0
uid4,7,100,0,0,0,0
uid3,7,0,100,0,0,0
uid9,7,0,50,50,0,0
uid1,7,100,0,0,0,0
uid20,7,85,15,0,0,0
uid5,7,0,20,80,0,0
uid7,7,0,70,30,0,0
uid21,7,10,87,3,0,0
uid11,7,35,50,15,0,0
uid15,7,85,15,0,0,0
uid16,8,0,10,85,5,0
uid18,8,20,50,30,0,0
uid12,8,25,25,50,0,0
uid2,8,80,20,0,0,0
uid22,8,30,30,40,0,0
uid7,8,20,60,20,0,0
uid14,8,10,80,10,0,0
uid20,8,60,40,0,0,0
uid17,8,93,7,0,0,0
uid6,8,80,20,0,0,0
uid4,8,65,35,0,0,0
uid9,5,100,0,0,0,0
uid21,8,80,20,0,0,0
uid1,8,100,0,0,0,0
uid3,8,100,0,0,0,0
uid8,8,5,90,5,0,0
uid9,8,0,40,60,0,0
uid5,8,0,10,90,0,0
uid13,8,0,80,20,0,0
uid11,8,15,25,50,10,0
uid19,8,90,10,0,0,0
uid15,8,80,20,0,0,0
uid16,9,0,30,70,0,0
uid18,9,20,60,20,0,0
uid4,9,80,20,0,0,0
uid6,9,80,20,0,0,0
uid15,9,85,15,0,0,0
uid1,9,90,10,0,0,0
uid14,9,10,80,10,0,0
uid17,9,0,95,5,0,0
uid8,9,95,5,0,0,0
uid19,9,87,13,0,0,0
uid22,9,50,50,0,0,0
uid7,9,0,70,20,10,0
uid21,9,85,15,0,0,0
uid3,9,50,50,0,0,0
uid5,9,80,20,0,0,0
uid20,9,89,11,0,0,0
uid9,9,30,50,20,0,0
uid13,9,60,40,0,0,0
uid12,9,0,75,25,0,0
uid2,9,10,90,0,0,0
uid11,9,65,15,20,0,0
uid10,8,0,30,70,0,0
uid10,9,90,10,0,0,0
