username,group_number,rate,feedback,time
uid1,1,5,,05:16
uid1,3,5,,05:43
uid1,4,4,,06:45
uid1,2,4,,06:51
uid1,5,4,,07:03
uid1,6,5,,07:20
uid1,7,4,,07:53
uid1,8,5,,08:15
uid1,9,4,,08:37
uid1,10,4,,08:48
uid4,1,5,,05:20
uid4,2,4,,05:43
uid4,3,4,,06:08
uid4,4,3,,06:44
uid4,5,5,,07:10
uid4,6,5,,07:20
uid4,7,4,,07:53
uid4,8,5,,08:14
uid4,9,5,,08:36
uid4,10,4,,08:48
uid12,1,5,,05:20
uid12,2,5,,05:42
uid12,3,4,,06:08
uid12,4,5,,06:44
uid12,5,5,,07:01
uid12,6,5,,07:19
uid12,7,4,,07:53
uid12,8,5,,08:14
uid12,9,5,,08:36
uid12,10,4,,08:54
uid8,1,4,,05:20
uid8,2,3,,05:42
uid8,3,3,,06:07
uid8,4,3,,06:45
uid8,5,3,,07:01
uid8,6,3,,07:20
uid8,7,5,,07:53
uid8,8,2,,08:14
uid8,9,5,,08:36
uid8,10,3,,08:48
uid15,1,4,,05:20
uid15,2,4,,05:42
uid15,3,5,,06:08
uid15,4,5,,06:45
uid15,5,4,,07:01
uid15,6,3,,07:20
uid15,7,5,,07:53
uid15,8,4,,08:14
uid15,9,4,,08:42
uid15,10,4,,08:48
uid6,1,5,,05:20
uid6,2,5,,05:33
uid6,3,5,,06:16
uid6,4,4,,06:39
uid6,5,4,,07:01
uid6,6,4,,07:20
uid6,7,5,,07:53
uid6,8,4,,08:14
uid6,9,4,,08:36
uid6,10,4,,08:44
uid21,1,4,,05:20
uid21,2,3,,05:43
uid21,3,4,,06:08
uid21,4,4,,06:45
uid21,5,5,,07:01
uid21,6,5,,07:20
uid21,7,5,,07:53
uid21,8,5,,08:22
uid21,9,4,,08:37
uid21,10,4,,08:48
uid17,1,4,,05:20
uid17,2,3,,05:43
uid17,3,4,,06:08
uid17,4,4,,06:45
uid17,5,5,,07:01
uid17,6,5,,07:20
uid17,7,5,,07:53
uid17,8,5,,08:20
uid17,9,4,,08:37
uid17,10,3,,08:48
uid5,1,5,,05:20
uid5,2,5,,05:43
uid5,4,5,,06:46
uid5,3,5,,06:47
uid5,5,4,,07:02
uid5,6,5,,07:20
uid5,7,5,,07:53
uid5,8,5,,08:14
uid5,9,5,,08:38
uid5,10,5,,08:48
uid13,1,4,,05:20
uid13,2,3,,05:43
uid13,3,5,,06:08
uid13,4,4,,06:45
uid13,5,4,,07:01
uid13,6,5,,07:20
uid13,7,5,,08:01
uid13,8,5,,08:14
uid13,9,4,,08:37
uid13,10,4,,08:49
uid18,1,3,,05:20
uid18,2,3,,05:42
uid18,3,4,,06:06
uid18,4,5,,06:45
uid18,5,5,,07:01
uid18,6,4,,07:20
uid18,7,4,,07:53
uid18,8,3,,08:14
uid18,9,3,,08:37
uid18,10,3,,08:48
uid7,1,5,,05:20
uid7,2,3,,05:43
uid7,3,3,,06:07
uid7,4,3,,06:45
uid7,5,5,,07:01
uid7,6,5,,07:20
uid7,7,5,,08:01
uid7,8,5,,08:14
uid7,9,3,,08:37
uid7,10,2,,08:48
uid16,1,4,,05:20
uid16,2,4,,05:43
uid16,3,5,,06:08
uid16,4,5,,06:48
uid16,5,5,,07:01
uid16,6,5,,07:20
uid16,7,5,,07:53
uid16,8,4,,08:14
uid16,9,3,,08:37
uid16,10,4,,08:48
uid11,1,4,,05:21
uid11,2,3,,05:43
uid11,3,2,,06:08
uid11,4,2,,06:45
uid11,5,3,,07:01
uid11,6,5,,07:29
uid11,7,4,,07:53
uid11,8,4,,08:15
uid11,9,4,,08:37
uid11,10,2,,08:49
uid19,1,5,,05:21
uid19,2,3,,05:54
uid19,3,5,,06:08
uid19,4,3,,06:45
uid19,5,4,,07:02
uid19,6,5,,07:20
uid19,7,3,,07:53
uid19,8,4,,08:15
uid19,9,4,,08:37
uid19,10,3,,08:48
uid3,1,4,,05:21
uid3,2,4,,05:43
uid3,3,4,,06:08
uid3,4,4,,06:45
uid3,5,5,,07:01
uid3,6,5,,07:20
uid3,7,5,,07:54
uid3,8,2,,08:15
uid3,9,5,,08:42
uid3,10,4,,08:48
uid10,1,4,,05:21
uid10,2,2,,05:43
uid10,3,3,,06:08
uid10,4,4,,06:45
uid10,5,2,,07:01
uid10,6,5,,07:20
uid10,7,4,,07:53
uid10,8,3,,08:14
uid10,9,5,,08:42
uid10,10,5,,08:48
uid2,1,4,,05:21
uid2,2,5,,05:43
uid2,6,5,,06:08
uid2,4,3,,06:45
uid2,5,3,,07:02
uid2,3,4,,07:21
uid2,7,5,,08:01
uid2,8,4,,08:14
uid2,9,3,,08:37
uid2,10,2,,08:48
uid9,1,5,,05:22
uid9,2,4,,05:55
uid9,3,4,,06:08
uid9,4,3,,06:46
uid9,5,4,,07:01
uid9,6,5,,07:20
uid9,7,4,,07:54
uid9,8,5,,08:15
uid9,9,5,,08:36
uid9,10,5,,08:48
uid20,1,4,"המסקנה השניה בנוגע לאיזה חדר מומלץ ביותר לא מאוד ברורה בעינייעד הסוף 
ההצגה והניתוח היו מקיפים ",05:22
uid20,2,3,,05:43
uid20,3,2,,06:08
uid20,4,2,,06:45
uid20,5,4,,07:02
uid20,6,5,,07:29
uid20,7,4,"אהבתי את ניתוח הנתונים, היה מעניין, מבחינת הצגה הרגשתי פער בין המשתתפים ",07:54
uid20,8,4,הפרוייקט היה מקיף ביותר מבחינת ניתוח הדאטה,08:17
uid20,9,3,,08:38
uid20,10,3,"מסקנה טובה, מעט חזרתי מבחינת הסברה ",08:49
uid14,1,4,,05:43
uid14,2,5,,05:43
uid14,3,5,,06:08
uid14,4,3,,06:45
uid14,5,5,,07:01
uid14,6,5,,07:20
uid14,7,4,,07:53
uid14,8,4,,08:14
uid14,9,4,,08:36
uid14,10,2,,08:48
