username,question_number,answer,group_number
uid1,1,4,1
uid1,2,5,1
uid1,3,5,1
uid2,1,3,1
uid2,2,4,1
uid2,3,5,1
uid4,1,3,1
uid4,2,3,1
uid4,3,3,1
uid6,1,4,1
uid6,2,5,1
uid6,3,4,1
uid5,1,4,1
uid5,2,4,1
uid5,3,5,1
uid3,1,4,1
uid3,2,5,1
uid3,3,4,1
uid7,1,4,1
uid7,2,4,1
uid7,3,4,1
uid4,1,3,2
uid4,2,3,2
uid4,3,5,2
uid5,1,4,2
uid5,2,4,2
uid5,3,5,2
uid2,1,4,2
uid2,2,4,2
uid2,3,5,2
uid1,1,4,2
uid1,2,4,2
uid1,3,5,2
uid3,1,4,2
uid3,2,5,2
uid3,3,4,2
uid6,1,4,2
uid6,2,4,2
uid6,3,4,2
uid7,1,4,2
uid7,2,4,2
uid7,3,5,2
uid4,1,3,3
uid4,2,2,3
uid4,3,3,3
uid1,1,4,3
uid1,2,5,3
uid1,3,4,3
uid3,1,4,3
uid3,2,5,3
uid3,3,4,3
uid5,1,5,3
uid5,2,5,3
uid5,3,5,3
uid2,1,4,3
uid2,2,5,3
uid2,3,3,3
uid6,1,4,3
uid6,2,5,3
uid6,3,5,3
uid7,1,5,3
uid7,2,5,3
uid7,3,5,3
uid4,1,4,4
uid4,2,5,4
uid4,3,5,4
uid5,1,4,4
uid5,2,3,4
uid5,3,5,4
uid1,1,5,4
uid1,2,4,4
uid1,3,4,4
uid2,1,4,4
uid2,2,4,4
uid2,3,5,4
uid6,1,4,4
uid6,2,3,4
uid6,3,5,4
uid3,1,4,4
uid3,2,5,4
uid3,3,5,4
uid7,1,4,4
uid7,2,5,4
uid7,3,5,4
uid6,1,2,5
uid6,2,2,5
uid6,3,2,5
uid5,1,1,5
uid5,2,1,5
uid5,3,3,5
uid1,1,3,5
uid1,2,3,5
uid1,3,3,5
uid2,1,2,5
uid2,2,3,5
uid2,3,2,5
uid4,1,2,5
uid4,2,2,5
uid4,3,2,5
uid7,1,4,5
uid7,2,4,5
uid7,3,5,5
uid4,1,4,6
uid4,2,5,6
uid4,3,5,6
uid2,1,5,6
uid2,2,5,6
uid2,3,5,6
uid5,1,5,6
uid5,2,5,6
uid5,3,5,6
uid3,1,4,5
uid3,2,4,5
uid3,3,3,5
uid1,1,5,6
uid1,2,4,6
uid1,3,5,6
uid7,1,5,6
uid7,2,5,6
uid7,3,5,6
uid3,1,4,6
uid3,2,5,6
uid3,3,5,6
uid6,1,5,6
uid6,2,5,6
uid6,3,5,6
