username,list_rank,number_questions,list_rank2
uid13,"[(6, 5), (5, 4), (3, 4), (1, 3), (4, 3), (2, 2)]",2,"[6, 5, 3, 1, 4, 2]"
uid14,"[(3, 5), (1, 5), (4, 4), (6, 4), (5, 4), (2, 3)]",4,"[3, 1, 4, 6, 5, 2]"
uid18,"[(1, 5), (5, 5), (4, 5), (3, 4), (2, 4), (6, 3)]",4,"[1, 5, 4, 3, 2, 6]"
uid7,"[(1, 5), (3, 5), (4, 4), (5, 4), (2, 4), (6, 3)]",4,"[1, 3, 4, 5, 2, 6]"
uid1,"[(5, 5), (3, 5), (1, 4), (4, 4), (2, 4), (6, 4)]",7,"[5, 3, 1, 4, 2, 6]"
uid17,"[(2, 5), (5, 4), (3, 4), (1, 4), (4, 3), (6, 3)]",3,"[2, 5, 3, 1, 4, 6]"
uid15,"[(1, 5), (3, 5), (5, 4), (2, 4), (4, 4), (6, 2)]",3,"[1, 3, 5, 2, 4, 6]"
uid19,"[(5, 5), (4, 4), (1, 4), (2, 4), (3, 3), (6, 3)]",3,"[5, 4, 1, 2, 3, 6]"
uid8,"[(1, 5), (3, 5), (5, 4), (2, 4), (4, 3), (6, 3)]",3,"[1, 3, 5, 2, 4, 6]"
uid3,"[(4, 5), (2, 4), (3, 4), (6, 4), (1, 4), (5, 3)]",6,"[4, 2, 3, 6, 1, 5]"
uid11,"[(6, 5), (2, 5), (4, 5), (1, 5), (5, 5), (3, 4)]",7,"[6, 2, 4, 1, 5, 3]"
uid2,"[(3, 5), (1, 4), (5, 4), (2, 4), (4, 3), (6, 3)]",4,"[3, 1, 5, 2, 4, 6]"
uid9,"[(5, 5), (2, 5), (1, 4), (6, 3), (3, 3), (4, 3)]",3,"[5, 2, 1, 6, 3, 4]"
uid12,"[(4, 5), (3, 5), (1, 4), (5, 4), (6, 3), (2, 3)]",3,"[4, 3, 1, 5, 6, 2]"
uid6,"[(6, 5), (5, 4), (3, 4), (2, 4), (1, 3), (4, 3)]",3,"[6, 5, 3, 2, 1, 4]"
uid4,"[(3, 5), (1, 5), (5, 4), (2, 4), (4, 3), (6, 3)]",3,"[3, 1, 5, 2, 4, 6]"
uid5,"[(2, 5), (5, 5), (3, 4), (1, 4), (4, 4), (6, 3)]",4,"[2, 5, 3, 1, 4, 6]"
uid10,"[(2, 5), (4, 5), (6, 4), (1, 4), (3, 4), (5, 3)]",3,"[2, 4, 6, 1, 3, 5]"
uid16,"[(2, 5), (3, 5), (1, 5), (6, 4), (4, 4), (5, 4)]",5,"[2, 3, 1, 6, 4, 5]"
