username,list_rank,number_questions,list_rank2
uid5,"[(1, 5), (2, 5), (4, 5), (10, 5), (3, 5), (6, 5), (8, 5), (5, 5), (7, 5), (9, 5)]",39,"[1, 2, 4, 10, 3, 6, 8, 5, 7, 9]"
uid6,"[(10, 5), (7, 5), (6, 5), (4, 5), (2, 5), (5, 5), (8, 4), (9, 4), (1, 4), (3, 4)]",11,"[10, 7, 6, 4, 2, 5, 8, 9, 1, 3]"
uid7,"[(4, 5), (10, 5), (9, 5), (7, 5), (6, 5), (2, 5), (3, 5), (1, 5), (8, 4), (5, 4)]",13,"[4, 10, 9, 7, 6, 2, 3, 1, 8, 5]"
uid8,"[(6, 5), (8, 5), (10, 5), (9, 5), (5, 5), (4, 5), (7, 4), (2, 4), (3, 4), (1, 4)]",14,"[6, 8, 10, 9, 5, 4, 7, 2, 3, 1]"
uid9,"[(5, 5), (2, 5), (6, 5), (7, 4), (10, 4), (8, 4), (4, 4), (9, 3), (3, 3), (1, 3)]",10,"[5, 2, 6, 7, 10, 8, 4, 9, 3, 1]"
uid11,"[(7, 5), (5, 5), (2, 5), (6, 4), (8, 4), (4, 4), (1, 4), (10, 3), (9, 3), (3, 3)]",8,"[7, 5, 2, 6, 8, 4, 1, 10, 9, 3]"
uid12,"[(2, 5), (6, 5), (5, 5), (3, 5), (8, 4), (10, 4), (4, 4), (7, 3), (1, 3), (9, 3)]",15,"[2, 6, 5, 3, 8, 10, 4, 7, 1, 9]"
uid13,"[(6, 5), (8, 5), (4, 5), (2, 5), (10, 4), (9, 4), (5, 4), (1, 4), (7, 3), (3, 3)]",8,"[6, 8, 4, 2, 10, 9, 5, 1, 7, 3]"
uid14,"[(6, 5), (10, 5), (8, 5), (9, 5), (4, 5), (2, 5), (5, 5), (7, 4), (3, 4), (1, 4)]",14,"[6, 10, 8, 9, 4, 2, 5, 7, 3, 1]"
uid15,"[(10, 5), (8, 5), (6, 5), (4, 5), (2, 5), (9, 5), (5, 4), (3, 4), (1, 4), (7, 4)]",13,"[10, 8, 6, 4, 2, 9, 5, 3, 1, 7]"
uid16,"[(9, 5), (4, 5), (6, 5), (1, 5), (2, 5), (8, 4), (10, 4), (5, 4), (7, 4), (3, 2)]",9,"[9, 4, 6, 1, 2, 8, 10, 5, 7, 3]"
uid17,"[(5, 5), (2, 5), (7, 5), (10, 5), (9, 5), (6, 5), (8, 4), (4, 4), (3, 4), (1, 4)]",17,"[5, 2, 7, 10, 9, 6, 8, 4, 3, 1]"
uid18,"[(5, 5), (8, 5), (6, 5), (2, 5), (9, 5), (1, 5), (10, 4), (7, 4), (4, 4), (3, 4)]",13,"[5, 8, 6, 2, 9, 1, 10, 7, 4, 3]"
uid19,"[(3, 5), (8, 5), (6, 5), (2, 5), (4, 5), (7, 4), (5, 4), (9, 4), (10, 4), (1, 4)]",16,"[3, 8, 6, 2, 4, 7, 5, 9, 10, 1]"
uid22,"[(9, 5), (6, 5), (4, 5), (5, 5), (10, 5), (2, 5), (1, 5), (8, 5), (7, 4), (3, 4)]",17,"[9, 6, 4, 5, 10, 2, 1, 8, 7, 3]"
uid23,"[(4, 5), (6, 5), (10, 5), (8, 5), (7, 5), (2, 5), (5, 5), (1, 5), (3, 4), (9, 4)]",18,"[4, 6, 10, 8, 7, 2, 5, 1, 3, 9]"
uid25,"[(8, 5), (6, 5), (4, 5), (2, 4), (10, 4), (9, 4), (7, 4), (5, 4), (1, 3), (3, 3)]",10,"[8, 6, 4, 2, 10, 9, 7, 5, 1, 3]"
uid26,"[(6, 5), (10, 5), (8, 5), (4, 5), (5, 4), (1, 4), (7, 4), (2, 4), (9, 4), (3, 3)]",15,"[6, 10, 8, 4, 5, 1, 7, 2, 9, 3]"
uid27,"[(2, 5), (5, 5), (6, 5), (3, 4), (7, 4), (10, 4), (4, 4), (8, 3), (9, 3), (1, 3)]",12,"[2, 5, 6, 3, 7, 10, 4, 8, 9, 1]"
uid28,"[(6, 5), (8, 5), (4, 5), (2, 5), (9, 4), (10, 4), (5, 4), (7, 4), (1, 4), (3, 3)]",10,"[6, 8, 4, 2, 9, 10, 5, 7, 1, 3]"
uid29,"[(4, 5), (7, 5), (10, 5), (2, 4), (5, 4), (9, 4), (8, 4), (1, 4), (6, 3), (3, 3)]",13,"[4, 7, 10, 2, 5, 9, 8, 1, 6, 3]"
uid30,"[(8, 5), (6, 5), (4, 5), (10, 5), (2, 5), (5, 5), (7, 4), (9, 4), (1, 4), (3, 4)]",12,"[8, 6, 4, 10, 2, 5, 7, 9, 1, 3]"
uid33,"[(5, 5), (8, 5), (2, 5), (10, 5), (6, 5), (3, 5), (7, 4), (9, 4), (4, 4), (1, 4)]",14,"[5, 8, 2, 10, 6, 3, 7, 9, 4, 1]"
uid35,"[(10, 5), (2, 5), (8, 5), (7, 5), (6, 5), (4, 5), (5, 5), (9, 4), (3, 4), (1, 4)]",12,"[10, 2, 8, 7, 6, 4, 5, 9, 3, 1]"
uid37,"[(8, 5), (3, 5), (2, 5), (4, 5), (10, 4), (1, 4), (7, 4), (5, 4), (6, 4), (9, 4)]",14,"[8, 3, 2, 4, 10, 1, 7, 5, 6, 9]"
uid39,"[(8, 5), (6, 5), (4, 4), (5, 4), (1, 4), (2, 4), (9, 4), (10, 4), (3, 3), (7, 3)]",16,"[8, 6, 4, 5, 1, 2, 9, 10, 3, 7]"
uid40,"[(6, 5), (8, 5), (2, 5), (10, 5), (4, 5), (1, 5), (5, 4), (9, 4), (7, 4), (3, 3)]",13,"[6, 8, 2, 10, 4, 1, 5, 9, 7, 3]"
