username,group_number,rate,feedback,time
uid12,3,3,,7:26
uid12,10,5,,7:46
uid12,8,4,,8:00
uid12,6,5,,8:35
uid12,1,5,,8:56
uid12,5,5,,9:21
uid12,4,4,,9:23
uid12,7,3,,9:54
uid12,9,3,,10:11
uid12,2,5,,10:23
uid14,3,5,פרויקט מאוד מוסבר לעומק שמראה כל רבדים ורבדים שניתן להעסיק,7:26
uid14,10,5,"פרויקט מושקע מאוד, חקרו את הדברים החשובים ביותר והראו נקודות מאוד קריטיות",7:45
uid14,8,5,"פרויקט מאוד מאוד מושקע, מנומק לעומק , הגרפים מאוד טובים שמראים את כל האפשריות שיש",7:59
uid14,6,4,הראו ניתוח לדברים החדובים בנתונים והמשחק שעשו באופן ידני מראה העומק שנצנו בפרויקט,8:35
uid14,5,5,הוסבר בצורה טובה ועשירה על דאטה מאוד יבש ,9:29
uid14,1,5,מאוד מאוד מובן ותמציתי בלי להוסיף סתם דברים שלא קשורים,8:48
uid14,4,4,הראו את הנקודות הקריטיות בדאטה,9:03
uid14,7,5,עשו ניתוח מאוד מאוד נכון עם תבונות מאוד יצרתיות שמשפיעות הרבה על הניתוח,9:53
uid14,9,5,נושא מאוד מעניין עם המון רבדים שהוצגו למופת והוסבר כל רבד ורבד ומסקנה מעולה,10:09
uid14,2,5,"היה פשוט מעולה, המטרה היתה מאוד ברורה , סיפרו פשוט סיפור שמצאר את הכל",10:23
uid2,3,3,,7:27
uid2,10,5,,7:50
uid2,8,4,,8:04
uid2,6,4,לא ממש הבנתי את המסקנה השלישית,8:40
uid2,1,5,,8:57
uid2,4,3,הגרף הראשון של כמות דיכאון מול גיל מאוד לא מובן הייתי מציע סוג גרף אחר,9:07
uid2,5,4,הצגה מאוד מעניינת,9:22
uid2,7,4,גרף העוגה לא היה כזה מובן,9:56
uid2,9,3,לא הבנתי אם הפרוייקט הוא על ביטוחים או תאונות דרכים,10:10
uid2,2,5,המסקנות היו מעולות,10:23
uid15,3,1,לא עבס,7:27
uid15,10,5,ואללה היה בסדר,7:46
uid15,8,5,,8:00
uid15,6,3,,8:35
uid15,1,3,,8:55
uid15,4,2,,9:12
uid15,5,4,,9:13
uid15,7,5,,10:15
uid15,9,5,,10:16
uid15,2,5,,10:17
uid17,3,4,דוגמאות על חברות ספציפיות ,7:27
uid17,10,4,מה המדיניות שהמדינות נוקטות בנושא,7:48
uid17,8,5,הסבר על היודמי עצמו ,8:00
uid17,6,4,איך התרשמתם מהנתונים,8:36
uid17,1,4,מאיזה מוצא המחבלים?,8:49
uid17,4,4,מה המסקנה שהכי הפתיעה אתכם ,9:03
uid17,5,4,,9:18
uid17,7,4,מאיזה מדינה הנתונים,9:53
uid17,9,4,,10:15
uid17,2,4,,10:20
uid19,3,3,"לא הצלחתי כלכך להבין את המסקנה השניה. 
",7:27
uid19,10,5,,7:50
uid19,8,4,,8:00
uid19,6,4,"1. לא כלכך הבנתי את המסקנה האחרונה ועל מה מדובר. 
2. לא הבנתי מדוע קראו לזה הסכסוך ולא מלחמת חרבות ברזל. ",8:36
uid19,1,5,,8:50
uid19,4,3,,9:04
uid19,5,3,,9:18
uid19,7,3,"לא כלכך הבנתי את הגרפים של הכינורות , בעני פחות מוצלח הגרפים האלה ",9:55
uid19,9,2,הגרפים לא היו מובנים. ,10:12
uid19,2,4,,10:23
uid20,3,3,,7:27
uid20,10,5,,7:50
uid20,8,4,,8:00
uid20,6,4,,8:36
uid20,1,5,,8:55
uid20,4,3,,9:09
uid20,5,4,,9:18
uid20,7,3,,9:54
uid20,9,1,,10:13
uid20,2,4,,10:23
uid16,3,3,,7:27
uid16,10,3,,7:44
uid16,8,4,,7:59
uid16,6,4,,8:38
uid16,1,3,,8:48
uid16,4,3,,9:07
uid16,5,3,,9:18
uid16,7,4,,9:55
uid16,9,4,,10:15
uid16,2,4,,10:23
uid18,3,3,,7:28
uid18,10,3,,7:45
uid18,8,3,,7:58
uid18,6,4,,8:32
uid18,1,5,,8:56
uid18,4,3,,9:02
uid18,5,5,,9:20
uid18,7,3,,9:47
uid18,9,3,,10:14
uid18,2,3,,10:20
uid13,3,3,,7:30
uid13,10,5,,7:43
uid13,8,3,,7:59
uid13,6,5,,8:35
uid13,1,5,,8:48
uid13,4,3,,9:07
uid13,5,4,,9:19
uid13,7,5,,9:55
uid13,9,4,,10:12
uid13,2,5,,10:25
uid6,3,3,"היה קשה להבין את הנושא העיקרי של הדאטה
",7:30
uid6,10,4,הפרוייקט מובן וההצגה הייתה טובה ,7:44
uid6,8,5,הפרוייקט הוגש בצורה טובה הגרפים היו טובים וההסבר היה מעולה,8:00
uid6,6,5,"הצגה מעולה וניסוח מעולה
",8:43
uid6,1,4,פרוייקט מעולה  עם הצגה טובה ,8:54
uid6,4,3,הצגה מעולה עם הסברים טובים,9:05
uid6,5,3,היה קצת קשה להתרכז בפרוייקט ,9:24
uid6,7,3,,9:54
uid6,9,3,,10:10
uid6,2,5,,10:24
uid22,3,3,"בגרף הראשון הוצג גרף שמראה שאין קשר בין מחיר מניה לדירוג, אבל הדירוג הוא ע""פ רווח והגרף האחרון מציג קשר חיובי בין השקעה ראשונית לרווח. איך הייתם מסבירים את הפער הזה?",7:31
uid22,10,5,"איזה עוד בעלי מקצוע הייתם רוצים לערב בניתוח?
איזה מחקרי המשך הייתם מוסיפים?",7:49
uid22,8,5,,8:05
uid22,6,5,האם ניסיתם לבדוק על דיווחים כפולים מכמה מקורות האם יש הבדל?,8:37
uid22,1,5,"היה מעניין ומלמד, הייתי שמחה למחקר המשך שמציג את המציאות מול התחזית של מודל האמינות",8:52
uid22,4,3,"איך בחרתם את הגרפים בהם השתמשתם עבור כל משתנה? 
האם השוואתם לתקופות קודמות/ מאוחרות לקומונה לצורך הסקת מסקנות קשורות להבדלים בין הקורונה לתקופות אחרות?",9:09
uid22,5,5,"האם יש הבדל בגודל התביעות לאורך זמן?
כלומר האם הסכומים עולים לאורך השנים, כמות התביעות אם היא עולה?",9:19
uid22,7,4,"האם התבצעה בדיקה על הסיבה לשימוש מועט בטאבלט למרות הדירוג הגבוה שלו?
אולי קשור לכמות קטנה יותר בשוק?",9:55
uid22,9,5,,10:14
uid22,2,5,הגרפים ברורים וההצגה היתה מצויינת,10:24
uid21,3,1,,7:31
uid21,10,4,,7:49
uid21,8,4,,8:17
uid21,6,4,,8:42
uid21,1,5,,8:56
uid21,4,3,,9:11
uid21,5,5,,9:26
uid21,7,3,,10:10
uid21,9,5,,10:11
uid21,2,4,,7:31
uid9,3,3,,7:31
uid9,10,4,פרוייקט מובן ומעניין,7:49
uid9,8,5,נראה שהשקיעו מאוד ומסקנות יפות,7:58
uid9,6,5,מעניין מאוד ורלוונטי להיום,8:39
uid9,1,4,מובן ומעניין,8:49
