username,group_number,rate,feedback,time
uid196,1,2,,6:31
uid196,2,4,,6:51
uid196,3,5,,7:04
uid196,4,4,,7:33
uid196,5,3,,7:45
uid196,6,4,,8:03
uid196,7,3,,8:33
uid196,8,3,,8:50
uid196,9,3,,8:59
uid196,10,3,,9:40
uid196,11,3,,9:52
uid196,12,3,,10:15
uid197,1,3,,6:34
uid197,2,5,,6:47
uid197,3,5,,7:01
uid197,4,3,,7:29
uid197,5,3,,7:43
uid197,6,4,,8:02
uid197,7,5,,8:34
uid197,8,4,,8:49
uid197,9,3,,8:56
uid197,10,5,,9:41
uid197,11,3,,10:06
uid197,12,4,,10:08
uid198,1,3,,6:33
uid198,2,4,,6:46
uid198,3,4,,6:58
uid198,4,4,,7:34
uid198,5,4,,7:48
uid198,6,5,,8:03
uid198,7,2,,8:36
uid198,8,4,,8:49
uid198,9,4,,8:57
uid198,10,4,,9:41
uid198,11,4,,9:53
uid198,12,3,,10:13
uid199,1,4,,6:33
uid199,2,4,,6:50
uid199,3,4,,7:03
uid199,4,3,,7:31
uid199,5,4,,7:43
uid199,6,4,,8:00
uid199,7,4,,8:28
uid199,8,5,,8:51
uid199,9,4,,8:59
uid199,10,4,,9:37
uid199,11,4,,10:02
uid199,12,4,,10:13
uid200,1,2,,6:26
uid200,2,3,,6:50
uid200,3,4,,7:03
uid200,4,2,,7:30
uid200,5,1,,7:45
uid200,6,1,,8:03
uid200,7,2,,8:38
uid200,8,3,,8:50
uid200,9,1,,9:01
uid200,10,5,,9:47
uid200,11,2,,9:48
uid200,12,1,,10:54
uid201,1,3,,6:25
uid201,2,3,,6:47
uid201,3,4,,7:01
uid201,4,3,,7:29
uid201,5,2,,7:42
uid201,6,4,,8:01
uid201,7,4,,8:32
uid201,8,5,,8:51
uid201,9,5,,8:59
uid201,10,4,,9:38
uid201,11,3,,10:00
uid201,12,3,,10:15
uid202,1,2,,6:28
uid202,2,4,,6:51
uid202,3,3,,7:03
uid202,4,3,,7:30
uid202,5,1,,7:47
uid202,6,2,,8:03
uid202,7,1,,8:32
uid202,8,3,,8:51
uid202,9,3,,9:29
uid202,10,3,,9:36
uid202,11,3,,9:56
uid202,12,1,,10:08
uid203,1,4,,6:32
uid203,2,5,,6:49
uid203,3,4,,7:03
uid203,4,4,,7:34
uid203,5,4,,7:48
uid203,6,5,,8:06
uid203,7,4,,8:36
uid203,8,4,,8:53
uid203,9,4,,9:11
uid203,10,4,,9:41
uid203,11,4,,10:01
uid203,12,4,,10:17
uid205,1,3,,6:32
uid205,2,4,,6:50
uid205,3,4,,6:59
uid205,4,5,,7:32
uid205,5,5,,7:41
uid205,6,5,,8:00
uid205,7,5,,8:34
uid205,8,4,,8:47
uid205,10,5,,9:37
uid205,9,5,,9:41
uid205,11,3,,9:52
