user_id,score,lag,session_id,primacy,recency,total_comparisons,norm_primacy,norm_recency
uid1_1,4,1,10,0,1,1,0.0,1.0
uid1_1,4,2,10,1,0,1,1.0,0.0
uid1_1,4,3,10,0,1,1,0.0,1.0
uid1_1,4,4,10,0,1,1,0.0,1.0
uid1_1,4,5,10,1,0,1,1.0,0.0
uid1_1,4,6,10,1,0,1,1.0,0.0
uid1_1,5,1,10,1,2,3,0.3333333333333333,0.6666666666666666
uid1_1,5,2,10,2,0,2,1.0,0.0
uid1_1,5,3,10,2,0,2,1.0,0.0
uid1_1,5,4,10,1,1,2,0.5,0.5
uid1_1,5,5,10,1,1,2,0.5,0.5
uid1_1,5,6,10,2,0,2,1.0,0.0
uid1_1,5,7,10,1,0,1,1.0,0.0
uid1_1,5,8,10,1,0,1,1.0,0.0
uid10_1,3,1,10,0,1,1,0.0,1.0
uid10_1,4,1,10,1,0,1,1.0,0.0
uid10_1,4,2,10,1,0,1,1.0,0.0
uid10_1,4,3,10,1,0,1,1.0,0.0
uid10_1,4,6,10,0,1,1,0.0,1.0
uid10_1,4,8,10,0,1,1,0.0,1.0
uid10_1,5,1,10,0,1,1,0.0,1.0
uid10_1,5,2,10,1,0,1,1.0,0.0
uid10_1,5,3,10,1,1,2,0.5,0.5
uid10_1,5,4,10,1,0,1,1.0,0.0
uid10_1,5,6,10,1,0,1,1.0,0.0
uid11_1,3,1,10,0,1,1,0.0,1.0
uid11_1,3,5,10,1,0,1,1.0,0.0
uid11_1,3,6,10,0,1,1,0.0,1.0
uid11_1,4,2,10,2,1,3,0.6666666666666666,0.3333333333333333
uid11_1,4,4,10,1,1,2,0.5,0.5
uid11_1,4,6,10,0,1,1,0.0,1.0
uid11_1,5,2,10,1,0,1,1.0,0.0
uid11_1,5,4,10,0,1,1,0.0,1.0
uid11_1,5,6,10,1,0,1,1.0,0.0
uid12_1,3,2,10,1,0,1,1.0,0.0
uid12_1,3,4,10,0,1,1,0.0,1.0
uid12_1,3,6,10,1,0,1,1.0,0.0
uid12_1,4,4,10,0,1,1,0.0,1.0
uid12_1,5,1,10,1,1,2,0.5,0.5
uid12_1,5,3,10,1,0,1,1.0,0.0
uid12_1,5,4,10,2,1,3,0.6666666666666666,0.3333333333333333
uid12_1,5,5,10,1,1,2,0.5,0.5
