username,Duration (in seconds),age,gender,satf1,satf2,satf3,satf4,satf5,satf6,iol1,iol2,iol3,iol4,imn1,imn2,imn3,imn4,fatig1,fatig2,fatig3,fatig4,fatig5
uid4,420,25.0,F,1,2,2,5,1,3,3,2,2,2,1,1,2,4,1,1,2,1,3
uid5,320,22.0,F,1,1,1,5,2,4,3,6,6,5,2,2,2,4,6,2,2,2,2
uid6,6718,28.0,M,1,2,1,1,2,2,6,5,5,5,2,5,2,4,6,6,2,2,2
uid7,260,22.0,M,1,1,1,5,4,5,3,1,2,1,3,1,2,3,3,3,5,2,3
uid8,212,24.0,F,1,1,1,5,2,2,5,3,3,5,2,2,2,3,6,5,1,2,2
uid9,188,24.0,M,1,1,1,4,3,4,6,6,5,5,2,2,1,4,6,6,2,2,3
uid10,159,24.0,F,2,1,1,5,1,5,3,5,6,6,3,2,1,1,6,3,2,1,1
uid11,377,22.0,F,2,1,1,4,1,3,3,3,6,2,3,1,4,2,5,3,5,3,3
uid12,439,20.0,M,1,1,1,5,1,5,3,3,3,2,4,2,4,2,3,3,2,2,2
uid13,140,23.0,F,1,2,2,3,4,3,3,3,2,1,1,1,2,3,3,2,1,1,2
uid14,219,23.0,F,1,1,2,5,3,4,3,3,3,6,2,3,1,4,6,6,2,2,2
uid15,205304,18.0,F,1,1,2,5,1,2,1,3,1,3,2,2,2,4,2,1,2,1,1
uid16,233,25.0,M,1,1,1,3,2,3,3,5,3,3,2,3,2,3,6,3,2,2,2
uid17,173,23.0,F,1,2,1,5,2,1,6,7,7,2,2,1,1,2,7,6,2,2,1
uid19,150,24.0,F,1,1,1,4,1,3,3,3,2,3,2,2,1,3,6,3,2,1,3
uid20,536,28.0,M,1,1,1,5,1,5,7,3,2,3,2,1,2,3,6,2,3,2,2
uid21,250,23.0,F,1,1,1,5,2,3,6,6,6,5,2,2,2,4,6,6,2,2,3
uid22,325,23.0,F,1,2,1,5,2,5,3,3,6,5,2,2,1,2,5,5,5,3,3
uid23,133,25.0,M,2,2,2,4,2,4,6,6,6,6,2,3,2,4,6,6,3,5,3
