session,username,group_number,project_grade,exam_grade
2,uid44,7,96_to_100,91_to_100
2,uid49,7,96_to_100,91_to_100
3,uid94,3,96_to_100,91_to_100
2,uid60,7,96_to_100,91_to_100
3,uid100,3,96_to_100,91_to_100
3,uid101,3,96_to_100,91_to_100
3,uid104,3,96_to_100,91_to_100
1,uid6,10,96_to_100,81_to_90
1,uid8,10,96_to_100,91_to_100
1,uid15,10,96_to_100,91_to_100
1,uid35,10,96_to_100,91_to_100
1,uid2,6,96_to_100,91_to_100
1,uid4,4,96_to_100,91_to_100
1,uid7,4,96_to_100,91_to_100
3,uid83,4,96_to_100,91_to_100
3,uid85,4,96_to_100,51_to_60
3,uid86,4,96_to_100,91_to_100
1,uid12,2,96_to_100,81_to_90
1,uid13,6,96_to_100,91_to_100
1,uid20,2,96_to_100,91_to_100
1,uid23,4,96_to_100,91_to_100
1,uid26,6,96_to_100,81_to_90
1,uid27,2,96_to_100,71_to_80
1,uid28,6,96_to_100,71_to_80
3,uid103,4,96_to_100,91_to_100
1,uid38,2,96_to_100,71_to_80
2,uid45,2,96_to_100,81_to_90
2,uid48,2,96_to_100,91_to_100
3,uid110,2,96_to_100,91_to_100
3,uid87,2,96_to_100,91_to_100
2,uid51,3,96_to_100,91_to_100
2,uid52,2,96_to_100,91_to_100
2,uid75,3,96_to_100,91_to_100
2,uid76,3,96_to_100,91_to_100
3,uid98,2,96_to_100,81_to_90
2,uid67,3,96_to_100,91_to_100
4,uid143,1,91_to_95,91_to_100
4,uid125,1,91_to_95,71_to_80
4,uid144,1,91_to_95,91_to_100
4,uid133,1,91_to_95,81_to_90
3,uid89,1,91_to_95,91_to_100
3,uid91,1,91_to_95,91_to_100
3,uid114,1,91_to_95,71_to_80
3,uid105,1,91_to_95,91_to_100
4,uid121,6,91_to_95,71_to_80
4,uid122,6,91_to_95,91_to_100
4,uid146,4,91_to_95,91_to_100
4,uid130,4,91_to_95,91_to_100
4,uid135,6,91_to_95,11_to_20
4,uid147,4,91_to_95,81_to_90
4,uid137,4,91_to_95,91_to_100
3,uid81,6,91_to_95,91_to_100
3,uid82,7,91_to_95,71_to_80
3,uid111,2,91_to_95,91_to_100
3,uid112,6,91_to_95,61_to_70
3,uid95,7,91_to_95,91_to_100
3,uid116,6,91_to_95,91_to_100
1,uid5,1,91_to_95,91_to_100
2,uid47,4,91_to_95,91_to_100
1,uid25,8,91_to_95,81_to_90
2,uid59,4,91_to_95,91_to_100
2,uid77,4,91_to_95,81_to_90
2,uid69,4,91_to_95,81_to_90
1,uid39,8,91_to_95,81_to_90
1,uid40,8,91_to_95,81_to_90
4,uid132,9,86_to_90,
2,uid43,5,86_to_90,91_to_100
2,uid72,5,86_to_90,91_to_100
2,uid53,10,86_to_90,71_to_80
2,uid54,5,86_to_90,91_to_100
2,uid57,5,86_to_90,91_to_100
2,uid63,10,86_to_90,61_to_70
2,uid65,10,86_to_90,91_to_100
2,uid70,10,86_to_90,71_to_80
1,uid10,7,86_to_90,91_to_100
1,uid11,7,86_to_90,91_to_100
3,uid96,10,86_to_90,81_to_90
3,uid97,10,86_to_90,91_to_100
3,uid99,10,86_to_90,91_to_100
1,uid29,7,86_to_90,91_to_100
1,uid30,7,86_to_90,91_to_100
3,uid109,5,86_to_90,91_to_100
3,uid84,5,86_to_90,91_to_100
2,uid74,6,86_to_90,91_to_100
2,uid62,6,86_to_90,91_to_100
2,uid66,6,86_to_90,91_to_100
2,uid68,6,86_to_90,91_to_100
3,uid102,5,86_to_90,91_to_100
3,uid106,5,86_to_90,61_to_70
4,uid123,3,86_to_90,81_to_90
4,uid124,3,86_to_90,91_to_100
4,uid134,3,86_to_90,81_to_90
1,uid34,8,86_to_90,71_to_80
1,uid19,3,86_to_90,71_to_80
1,uid17,5,86_to_90,91_to_100
1,uid18,5,86_to_90,51_to_60
1,uid32,5,86_to_90,81_to_90
1,uid33,5,86_to_90,61_to_70
2,uid42,8,81_to_85,81_to_90
2,uid46,1,81_to_85,91_to_100
2,uid73,1,81_to_85,91_to_100
2,uid50,1,81_to_85,81_to_90
4,uid126,7,81_to_85,
2,uid55,8,81_to_85,91_to_100
2,uid61,8,81_to_85,71_to_80
2,uid64,8,81_to_85,91_to_100
4,uid131,7,81_to_85,81_to_90
2,uid71,1,81_to_85,91_to_100
1,uid36,3,81_to_85,11_to_20
1,uid3,9,81_to_85,
1,uid14,9,81_to_85,91_to_100
1,uid16,9,81_to_85,81_to_90
1,uid22,9,81_to_85,81_to_90
2,uid58,9,81_to_85,91_to_100
3,uid108,9,81_to_85,81_to_90
3,uid79,9,81_to_85,81_to_90
3,uid88,9,81_to_85,91_to_100
3,uid113,9,81_to_85,81_to_90
3,uid78,8,81_to_85,51_to_60
3,uid92,8,81_to_85,91_to_100
3,uid93,8,81_to_85,91_to_100
3,uid115,8,81_to_85,61_to_70
4,uid119,8,81_to_85,91_to_100
4,uid128,8,81_to_85,
4,uid139,8,81_to_85,
4,uid18,7,76_to_80,
4,uid5,7,76_to_80,
2,uid1,9,76_to_80,81_to_90
4,uid120,5,76_to_80,41_to_50
4,uid127,5,76_to_80,91_to_100
4,uid145,5,76_to_80,71_to_80
4,uid138,5,76_to_80,71_to_80
4,uid117,2,71_to_75,61_to_70
4,uid118,2,71_to_75,51_to_60
4,uid142,2,71_to_75,81_to_90
5,uid161,3,96_to_100,81_to_90
5,uid175,3,96_to_100,51_to_60
5,uid174,3,96_to_100,81_to_90
5,uid163,3,96_to_100,41_to_50
5,uid168,8,91_to_95,71_to_80
5,uid154,8,91_to_95,71_to_80
5,uid156,8,91_to_95,71_to_80
5,uid179,8,91_to_95,91_to_100
6,uid207,3,86_to_90,71_to_80
6,uid214,3,86_to_90,81_to_90
6,uid216,3,86_to_90,81_to_90
6,uid201,8,96_to_100,81_to_90
6,uid199,8,96_to_100,71_to_80
6,uid185,8,96_to_100,71_to_80
6,uid195,8,96_to_100,91_to_100
5,uid155,4,86_to_90,71_to_80
5,uid164,4,86_to_90,91_to_100
5,uid157,4,86_to_90,61_to_70
6,uid184,6,91_to_95,41_to_50
6,uid210,6,91_to_95,51_to_60
6,uid192,6,91_to_95,51_to_60
6,uid188,6,91_to_95,31_to_40
5,uid169,6,96_to_100,
5,uid166,6,96_to_100,71_to_80
5,uid173,6,96_to_100,51_to_60
5,uid178,1,96_to_100,61_to_70
5,uid167,1,96_to_100,61_to_70
5,uid150,1,96_to_100,71_to_80
5,uid170,1,96_to_100,61_to_70
6,uid212,9,81_to_85,61_to_70
6,uid205,9,81_to_85,21_to_30
5,uid78,7,81_to_85,
5,uid177,7,81_to_85,81_to_90
6,uid181,4,86_to_90,61_to_70
6,uid219,4,86_to_90,71_to_80
6,uid198,4,86_to_90,71_to_80
6,uid203,4,86_to_90,51_to_60
6,uid182,1,76_to_80,
5,uid159,5,86_to_90,61_to_70
5,uid162,5,86_to_90,81_to_90
5,uid176,5,86_to_90,71_to_80
5,uid152,5,81_to_85,91_to_100
6,uid186,10,81_to_85,81_to_90
6,uid217,10,81_to_85,71_to_80
6,uid209,10,81_to_85,61_to_70
6,uid197,10,81_to_85,91_to_100
5,uid151,2,91_to_95,51_to_60
5,uid171,2,91_to_95,71_to_80
5,uid158,2,91_to_95,51_to_60
6,uid208,2,86_to_90,81_to_90
6,uid200,2,86_to_90,71_to_80
6,uid202,2,86_to_90,71_to_80
6,uid196,2,86_to_90,71_to_80
5,uid165,10,91_to_95,71_to_80
6,uid218,5,86_to_90,71_to_80
6,uid213,5,86_to_90,91_to_100
6,uid211,7,81_to_85,91_to_100
6,uid204,7,81_to_85,61_to_70
6,uid193,7,81_to_85,51_to_60
6,uid206,11,76_to_80,61_to_70
6,uid120,11,71_to_75,
6,uid187,11,76_to_80,91_to_100
5,uid160,9,86_to_90,21_to_30
5,uid172,9,86_to_90,51_to_60
6,uid180,12,81_to_85,11_to_20
6,uid190,12,81_to_85,71_to_80
7,uid9,5,86_to_90,81_to_90
7,uid11,5,86_to_90,81_to_90
9,uid9,6,81_to_85,81_to_90
9,uid17,6,81_to_85,81_to_90
8,uid4,4,71_to_75,71_to_80
8,uid17,4,71_to_75,71_to_80
10,uid22,8,86_to_90,
10,uid4,8,86_to_90,81_to_90
9,uid19,9,81_to_85,71_to_80
9,uid6,9,76_to_80,71_to_80
7,uid14,8,76_to_80,71_to_80
7,uid8,8,76_to_80,71_to_80
7,uid15,8,76_to_80,71_to_80
8,uid6,7,86_to_90,81_to_90
8,uid5,7,86_to_90,81_to_90
8,uid1,7,86_to_90,81_to_90
10,uid12,1,96_to_100,91_to_100
7,uid10,4,81_to_85,81_to_90
7,uid6,4,81_to_85,81_to_90
9,uid3,5,96_to_100,91_to_100
9,uid7,5,96_to_100,91_to_100
9,uid12,5,96_to_100,91_to_100
10,uid14,5,81_to_85,81_to_90
9,uid13,4,81_to_85,71_to_80
9,uid2,4,81_to_85,71_to_80
9,uid14,4,81_to_85,71_to_80
8,uid19,3,81_to_85,81_to_90
8,uid12,3,81_to_85,81_to_90
9,uid18,7,81_to_85,81_to_90
9,uid20,7,81_to_85,81_to_90
7,uid3,1,66_to_70,61_to_70
7,uid12,1,66_to_70,61_to_70
7,uid16,3,96_to_100,91_to_100
7,uid4,3,91_to_95,91_to_100
8,uid11,2,81_to_85,81_to_90
8,uid21,2,81_to_85,81_to_90
7,uid7,7,66_to_70,61_to_70
7,uid13,7,66_to_70,61_to_70
8,uid3,6,86_to_90,81_to_90
8,uid7,6,86_to_90,81_to_90
10,uid5,6,91_to_95,91_to_100
10,uid6,6,91_to_95,91_to_100
10,uid11,6,91_to_95,91_to_100
9,uid8,8,66_to_70,61_to_70
9,uid5,8,66_to_70,
8,uid16,9,91_to_95,91_to_100
10,uid3,3,61_to_65,61_to_70
10,uid193,3,56_to_60,
10,uid17,9,96_to_100,91_to_100
10,uid15,9,96_to_100,91_to_100
10,uid16,9,91_to_95,91_to_100
10,uid2,10,76_to_80,71_to_80
10,uid20,10,76_to_80,71_to_80
10,uid19,10,76_to_80,71_to_80
7,uid18,2,86_to_90,81_to_90
7,uid17,2,86_to_90,81_to_90
10,uid9,7,81_to_85,81_to_90
10,uid10,7,81_to_85,81_to_90
10,uid8,4,71_to_75,61_to_70
10,uid7,4,71_to_75,61_to_70
10,uid1,4,71_to_75,61_to_70
9,uid4,2,96_to_100,91_to_100
9,uid21,2,96_to_100,91_to_100
9,uid11,2,96_to_100,91_to_100
9,uid10,1,96_to_100,91_to_100
9,uid1,1,96_to_100,
9,uid16,1,96_to_100,91_to_100
8,uid18,5,76_to_80,71_to_80
8,uid8,5,76_to_80,71_to_80
8,uid2,5,76_to_80,71_to_80
8,uid14,8,76_to_80,71_to_80
8,uid20,8,76_to_80,
8,uid9,8,71_to_75,
8,uid13,1,76_to_80,71_to_80
8,uid15,1,76_to_80,71_to_80
7,uid1,6,76_to_80,71_to_80
7,uid5,6,76_to_80,
10,uid23,2,96_to_100,91_to_100
10,uid13,2,96_to_100,91_to_100
14,uid5,4,91_to_95,
14,uid19,4,91_to_95,
11,uid1,7,96_to_100,
11,uid4,7,96_to_100,
11,uid15,7,96_to_100,
12,uid14,1,81_to_85,
11,uid10,9,86_to_90,
