case_study,session_id,group_local,group_global,R2R_copeland,R2R_borda,Copeland,Borda,Mean,Median
case_study_1,1,1,case_study_1_1_1,9,9,9,9,9,7
case_study_1,1,2,case_study_1_1_2,4,3,4,3,2,1
case_study_1,1,3,case_study_1_1_3,10,10,10,10,10,7
case_study_1,1,4,case_study_1_1_4,3,5,3,5,3,1
case_study_1,1,5,case_study_1_1_5,6,6,6,6,5,1
case_study_1,1,6,case_study_1_1_6,1,1,1,1,1,1
case_study_1,1,7,case_study_1_1_7,7,7,7,7,7,7
case_study_1,1,8,case_study_1_1_8,2,2,2,2,4,1
case_study_1,1,9,case_study_1_1_9,8,7,8,8,7,7
case_study_1,1,10,case_study_1_1_10,5,4,5,4,6,1
case_study_1,2,1,case_study_1_2_1,8,8,6,6,6,6
case_study_1,2,2,case_study_1_2_2,3,4,7,7,1,1
case_study_1,2,3,case_study_1_2_3,6,6,2,2,8,6
case_study_1,2,4,case_study_1_2_4,5,5,9,9,4,1
case_study_1,2,5,case_study_1_2_5,7,7,4,5,7,6
case_study_1,2,6,case_study_1_2_6,4,3,8,7,5,1
case_study_1,2,7,case_study_1_2_7,2,2,4,4,2,1
case_study_1,2,8,case_study_1_2_8,1,1,1,1,3,1
case_study_1,2,9,case_study_1_2_9,10,10,3,3,10,10
case_study_1,2,10,case_study_1_2_10,9,9,10,10,9,6
case_study_1,3,1,case_study_1_3_1,4,4,6,5,4,1
case_study_1,3,2,case_study_1_3_2,8,8,8,8,8,5
case_study_1,3,3,case_study_1_3_3,1,1,1,1,1,1
case_study_1,3,4,case_study_1_3_4,2,2,2,2,2,1
case_study_1,3,5,case_study_1_3_5,10,9,10,9,9,5
case_study_1,3,6,case_study_1_3_6,6,5,5,4,6,5
case_study_1,3,7,case_study_1_3_7,7,7,7,7,5,5
case_study_1,3,8,case_study_1_3_8,9,10,9,10,10,5
case_study_1,3,9,case_study_1_3_9,5,6,4,6,7,5
case_study_1,3,10,case_study_1_3_10,3,3,3,3,3,1
case_study_1,4,1,case_study_1_4_1,2,2,2,2,2,1
case_study_1,4,2,case_study_1_4_2,7,8,7,8,9,3
case_study_1,4,3,case_study_1_4_3,5,5,5,5,4,3
case_study_1,4,4,case_study_1_4_4,1,1,1,1,1,1
case_study_1,4,5,case_study_1_4_5,6,6,6,6,6,3
case_study_1,4,6,case_study_1_4_6,4,4,4,4,5,3
case_study_1,4,7,case_study_1_4_7,8,7,8,7,7,3
case_study_1,4,8,case_study_1_4_8,9,9,9,9,8,3
case_study_1,4,9,case_study_1_4_9,3,3,3,3,3,3
case_study_1,5,1,case_study_1_5_1,4,4,4,4,4,4
case_study_1,5,2,case_study_1_5_2,6,7,6,7,7,4
case_study_1,5,3,case_study_1_5_3,5,5,5,5,5,4
case_study_1,5,4,case_study_1_5_4,7,6,7,6,6,4
case_study_1,5,5,case_study_1_5_5,8,8,8,8,8,4
case_study_1,5,6,case_study_1_5_6,3,3,3,2,2,1
case_study_1,5,7,case_study_1_5_7,9,9,9,10,9,9
case_study_1,5,8,case_study_1_5_8,2,2,2,3,2,1
case_study_1,5,9,case_study_1_5_9,10,10,10,9,9,9
case_study_1,5,10,case_study_1_5_10,1,1,1,1,1,1
case_study_1,6,1,case_study_1_6_1,11,11,11,11,11,10
case_study_1,6,2,case_study_1_6_2,1,1,1,1,1,1
case_study_1,6,3,case_study_1_6_3,5,4,5,4,4,1
case_study_1,6,4,case_study_1_6_4,7,8,7,7,5,1
case_study_1,6,5,case_study_1_6_5,10,10,10,10,10,10
case_study_1,6,6,case_study_1_6_6,3,3,3,3,2,1
case_study_1,6,7,case_study_1_6_7,9,9,8,9,9,9
case_study_1,6,8,case_study_1_6_8,4,5,4,5,7,1
case_study_1,6,9,case_study_1_6_9,5,5,5,6,6,1
case_study_1,6,10,case_study_1_6_10,2,2,2,2,2,1
case_study_1,6,11,case_study_1_6_11,8,7,9,8,8,1
case_study_1,6,12,case_study_1_6_12,11,12,11,11,12,10
case_study_1,7,1,case_study_1_7_1,8,8,8,7,8,6
case_study_1,7,2,case_study_1_7_2,3,3,4,4,2,2
case_study_1,7,3,case_study_1_7_3,1,1,1,1,1,1
case_study_1,7,4,case_study_1_7_4,7,7,7,8,7,6
case_study_1,7,5,case_study_1_7_5,2,2,2,3,3,2
case_study_1,7,6,case_study_1_7_6,6,6,6,6,6,6
case_study_1,7,7,case_study_1_7_7,4,4,2,2,4,4
case_study_1,7,8,case_study_1_7_8,5,5,5,5,5,4
case_study_1,8,1,case_study_1_8_1,6,6,5,6,5,4
case_study_1,8,2,case_study_1_8_2,4,4,2,2,6,4
case_study_1,8,3,case_study_1_8_3,4,5,5,5,4,4
case_study_1,8,4,case_study_1_8_4,2,2,3,4,1,1
case_study_1,8,5,case_study_1_8_5,3,2,3,2,3,1
case_study_1,8,6,case_study_1_8_6,7,8,7,8,9,4
case_study_1,8,7,case_study_1_8_7,1,1,1,1,1,1
case_study_1,8,8,case_study_1_8_8,7,7,7,7,6,4
case_study_1,8,9,case_study_1_8_9,9,9,9,9,6,4
case_study_1,9,1,case_study_1_9_1,1,2,1,2,1,1
case_study_1,9,2,case_study_1_9_2,1,1,1,1,2,1
case_study_1,9,3,case_study_1_9_3,9,9,9,9,8,5
case_study_1,9,4,case_study_1_9_4,7,7,7,7,7,5
case_study_1,9,5,case_study_1_9_5,3,3,3,3,3,1
case_study_1,9,6,case_study_1_9_6,4,3,4,4,4,1
case_study_1,9,7,case_study_1_9_7,6,6,6,6,6,5
case_study_1,9,8,case_study_1_9_8,5,5,5,5,5,5
case_study_1,9,9,case_study_1_9_9,8,8,8,8,8,5
case_study_1,10,1,case_study_1_10_1,3,2,4,3,2,2
case_study_1,10,2,case_study_1_10_2,1,3,1,1,1,1
case_study_1,10,3,case_study_1_10_3,10,10,10,10,10,9
case_study_1,10,4,case_study_1_10_4,9,9,9,9,9,9
case_study_1,10,5,case_study_1_10_5,4,4,2,3,5,4
case_study_1,10,6,case_study_1_10_6,5,5,4,5,3,4
case_study_1,10,7,case_study_1_10_7,7,8,7,7,7,4
case_study_1,10,8,case_study_1_10_8,2,1,3,2,3,2
case_study_1,10,9,case_study_1_10_9,8,7,8,8,8,4
case_study_1,10,10,case_study_1_10_10,6,6,6,6,6,4
case_study_2,11,1,case_study_2_11_1,7,7,7,7,4,2
case_study_2,11,2,case_study_2_11_2,9,9,9,9,9,9
case_study_2,11,3,case_study_2_11_3,6,6,6,6,4,2
case_study_2,11,4,case_study_2_11_4,5,5,5,5,3,2
case_study_2,11,5,case_study_2_11_5,1,1,1,1,1,1
case_study_2,11,6,case_study_2_11_6,8,8,8,8,8,8
case_study_2,11,7,case_study_2_11_7,3,4,3,4,7,2
case_study_2,11,8,case_study_2_11_8,4,3,4,3,4,2
case_study_2,11,9,case_study_2_11_9,2,2,2,2,2,2
case_study_2,12,1,case_study_2_12_1,5,5,5,5,3,3
case_study_2,12,2,case_study_2_12_2,8,8,8,8,8,3
case_study_2,12,3,case_study_2_12_3,3,3,3,3,7,3
case_study_2,12,4,case_study_2_12_4,9,8,9,9,8,3
case_study_2,12,5,case_study_2_12_5,6,7,6,7,4,3
case_study_2,12,6,case_study_2_12_6,1,1,1,1,1,1
case_study_2,12,7,case_study_2_12_7,2,2,2,2,2,1
case_study_2,12,8,case_study_2_12_8,6,4,6,3,5,3
case_study_2,12,9,case_study_2_12_9,3,6,3,6,6,3
case_study_2,12,10,case_study_2_12_10,10,10,10,10,10,3
case_study_2,13,1,case_study_2_13_1,3,3,3,3,3,1
case_study_2,13,2,case_study_2_13_2,3,4,4,5,4,1
case_study_2,13,3,case_study_2_13_3,6,6,6,7,6,5
